model_id,C1 Complex reasoning_theta,C1 Complex reasoning_score,C1 Complex reasoning_applicable,C2 Knowledge and factual reliability_theta,C2 Knowledge and factual reliability_score,C2 Knowledge and factual reliability_applicable,C3 Long context_theta,C3 Long context_score,C3 Long context_applicable,C4 Code and software engineering_theta,C4 Code and software engineering_score,C4 Code and software engineering_applicable,C5 Multimodal_theta,C5 Multimodal_score,C5 Multimodal_applicable,bootstrap
kimi_k3_max,0.006424661924241162,62.98964323083406,True,0.028973731877515417,46.25746211394311,True,0.055297226350198604,66.36155480567838,True,0.0805524024416097,87.70470184307126,True,-0.03587378629399259,34.56856016386749,True,1
gpt_5_6_sol_max,0.029036083879434918,87.43071375599492,True,0.06850012615374458,59.35824195831793,True,0.00936884634747162,54.027946711038894,True,0.03976173574165388,70.8860321411982,True,0.18157704429928098,100.0,True,1
gpt_5_5_xhigh,0.009734146461355989,66.56692134867367,True,-0.0005644625136405263,36.467209580040624,True,0.02315848882240687,57.73101758009519,True,-0.04626957806786408,35.413891868922654,True,-0.127578827746833,6.974308690462572,True,1
claude_fable_5_max,-0.013283975236641111,41.68624215510983,True,0.19112047177571867,100.0,True,-0.001672797235364975,51.06282352003342,True,0.11037244278879643,100.0,True,0.05333418205539982,61.41143677202628,True,1
claude_opus_4_8_max,0.040664438482243034,100.0,True,0.027020190262893345,45.609972782355385,True,-0.039819494894206726,40.818908559372474,True,-0.03382242013446414,40.54606192019395,True,-0.15075681712553368,0.0,True,1
gemini_3_1_pro_high,0.03768991444740175,96.78478638546468,True,0.013297054773238354,41.061524078229155,True,-0.19182256887109406,0.0,True,-0.016008857916220438,47.89088963203741,True,0.04699904770235941,59.50518071798478,True,1
deepseek_v4_pro_max,-0.05184960230789524,0.0,True,-0.11058976796394768,0.0,True,0.1805614054720557,100.0,True,0.08169957062572056,88.17769834795749,True,,,False,1
deepseek_v4_flash_max,-0.04880614223082385,3.2897277549202157,True,-0.06045617221681044,16.61647141654705,True,-0.0070495668403233675,49.61894570159547,True,-0.13215962082270952,0.0,True,,,False,1
qwen3_8_max,-0.01103141326062543,44.121074702447665,True,-0.07628959821445747,11.368579925920463,True,-0.026348741915778674,44.43634483658853,True,-0.000284376439506835,54.374354639741085,True,0.03229915710931904,55.081950858103056,True,1
glm_5_2_max,0.0014218878413087721,57.58205964654241,True,-0.08101157393425427,9.803510167641388,True,-0.0016727972353649764,51.06282352003342,True,-0.08384129821701557,19.92244731941566,True,,,False,1
kimi_k3_max,0.030958439421163282,74.1628862684157,True,0.028973731877515417,46.25746211394311,True,0.055297226350198604,66.36155480567838,True,0.08558931939337543,93.09716557439228,True,-0.03587378629399259,34.56856016386749,True,2
gpt_5_6_sol_max,0.012994941629555484,61.28796055453746,True,0.06850012615374458,59.35824195831793,True,0.00936884634747162,54.027946711038894,True,0.03297755563487833,71.29913620180392,True,0.18157704429928098,100.0,True,2
gpt_5_5_xhigh,0.05294860838655714,89.92383634336967,True,-0.0005644625136405263,36.467209580040624,True,0.02315848882240687,57.73101758009519,True,-0.05107949984387418,36.472739339121034,True,-0.127578827746833,6.974308690462572,True,2
claude_fable_5_max,-0.046976485520318134,18.30481337088561,True,0.19112047177571867,100.0,True,-0.001672797235364975,51.06282352003342,True,0.10225001325044449,100.0,True,0.05333418205539982,61.41143677202628,True,2
claude_opus_4_8_max,0.06700718609148708,100.0,True,0.027020190262893345,45.609972782355385,True,-0.039819494894206726,40.818908559372474,True,-0.03405140798413841,43.527793570366136,True,-0.15075681712553368,0.0,True,2
gemini_3_1_pro_high,0.04370035372193473,83.29536157908024,True,0.013297054773238354,41.061524078229155,True,-0.19182256887109406,0.0,True,-0.01658806603254517,50.763179986068735,True,0.04699904770235941,59.50518071798478,True,2
deepseek_v4_pro_max,-0.03310435771730911,28.24734332964486,True,-0.11058976796394768,0.0,True,0.1805614054720557,100.0,True,0.08425344581403431,92.54368837765337,True,,,False,2
deepseek_v4_flash_max,-0.07251593187294868,0.0,True,-0.06045617221681044,16.61647141654705,True,-0.0070495668403233675,49.61894570159547,True,-0.13911017054973826,0.0,True,,,False,2
qwen3_8_max,-0.011395095990319926,43.80695957368754,True,-0.07628959821445747,11.368579925920463,True,-0.026348741915778674,44.43634483658853,True,0.02009843654926807,65.96307833060483,True,0.03229915710931904,55.081950858103056,True,2
glm_5_2_max,-0.04361765814980185,20.712175978258283,True,-0.08101157393425427,9.803510167641388,True,-0.0016727972353649764,51.06282352003342,True,-0.08433962623170461,22.692452191442264,True,,,False,2
kimi_k3_max,0.03822501131322059,93.94819666498779,True,0.028973731877515417,46.25746211394311,True,0.055297226350198604,66.36155480567838,True,0.0867452212222166,93.2288283917618,True,-0.03587378629399259,34.56856016386749,True,3
gpt_5_6_sol_max,0.04484651139760465,98.33177317486306,True,0.06850012615374458,59.35824195831793,True,0.00936884634747162,54.027946711038894,True,0.03048153533001478,70.33404263228587,True,0.18157704429928098,100.0,True,3
gpt_5_5_xhigh,0.02724242028216393,86.6774834658978,True,-0.0005644625136405263,36.467209580040624,True,0.02315848882240687,57.73101758009519,True,-0.051640777751792294,36.91687960313615,True,-0.127578827746833,6.974308690462572,True,3
claude_fable_5_max,-0.0019142200866138026,67.3751558666157,True,0.19112047177571867,100.0,True,-0.001672797235364975,51.06282352003342,True,0.1033853014785007,100.0,True,0.05333418205539982,61.41143677202628,True,3
claude_opus_4_8_max,0.03460982922086404,91.55486779735703,True,0.027020190262893345,45.609972782355385,True,-0.039819494894206726,40.818908559372474,True,-0.034359745924372534,43.9488668453068,True,-0.15075681712553368,0.0,True,3
gemini_3_1_pro_high,0.047366409028804034,100.0,True,0.013297054773238354,41.061524078229155,True,-0.19182256887109406,0.0,True,-0.01373789169469345,52.34029956189466,True,0.04699904770235941,59.50518071798478,True,3
deepseek_v4_pro_max,-0.06048556953691602,28.59965358918516,True,-0.11058976796394768,0.0,True,0.1805614054720557,100.0,True,0.08680940897940588,93.25494763592305,True,,,False,3
deepseek_v4_flash_max,-0.10368604937969463,0.0,True,-0.06045617221681044,16.61647141654705,True,-0.0070495668403233675,49.61894570159547,True,-0.14236360608188062,0.0,True,,,False,3
qwen3_8_max,-0.0036987201465361816,66.19377816596521,True,-0.07628959821445747,11.368579925920463,True,-0.026348741915778674,44.43634483658853,True,0.017651105661718004,65.11309178629105,True,0.03229915710931904,55.081950858103056,True,3
glm_5_2_max,-0.022505622092896627,53.743201628177246,True,-0.08101157393425427,9.803510167641388,True,-0.0016727972353649764,51.06282352003342,True,-0.08297055121911706,24.168186728630925,True,,,False,3
kimi_k3_max,0.0382250113132206,93.9481966649878,True,0.028973731877515417,46.25746211394311,True,0.055297226350198604,66.36155480567838,True,0.08556713327248115,90.68082014456309,True,-0.03587378629399259,34.56856016386749,True,4
