analysis,removed,status,model_id,model,main_rank,scenario_rank,rank_change,scenario_score
LOFO,GPQA Diamond,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,80.27832336419368
LOFO,GPQA Diamond,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,75.15869278291186
LOFO,GPQA Diamond,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,50.46694260791863
LOFO,GPQA Diamond,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,4,0,46.14957507162825
LOFO,GPQA Diamond,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,45.743019928486035
LOFO,GPQA Diamond,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,6,-1,29.74147485535393
LOFO,GPQA Diamond,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,7,1,28.541127552227035
LOFO,GPQA Diamond,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,28.520832443631427
LOFO,GPQA Diamond,OK,glm_5_2_max,GLM-5.2 (max),9,9,0,16.21569561812768
LOFO,GPQA Diamond,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10,10,0,10.468247882736646
LOFO,LiveBench Logic,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,68.4258950360779
LOFO,LiveBench Logic,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,2,-2,60.400897769898464
LOFO,LiveBench Logic,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,3,1,54.81999382932584
LOFO,LiveBench Logic,OK,kimi_k3_max,Kimi K3 (max reasoning),3,4,1,47.08741916558674
LOFO,LiveBench Logic,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,40.36264509596538
LOFO,LiveBench Logic,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,6,-1,36.132819136366095
LOFO,LiveBench Logic,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,7,1,35.35626038169811
LOFO,LiveBench Logic,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,26.245538997109804
LOFO,LiveBench Logic,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10,9,-1,10.366188620410345
LOFO,LiveBench Logic,OK,glm_5_2_max,GLM-5.2 (max),9,10,1,9.172236278132436
LOFO,LiveBench Math,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,80.47697708253463
LOFO,LiveBench Math,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,67.03224737207444
LOFO,LiveBench Math,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,57.16124745287184
LOFO,LiveBench Math,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,4,0,52.23251804320674
LOFO,LiveBench Math,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,47.193805324001644
LOFO,LiveBench Math,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,6,0,37.186611915600615
