analysis,removed,status,model_id,model,main_rank,scenario_rank,rank_change,scenario_score
LOSO,DeepSeek technical report,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,75.4334737919716
LOSO,DeepSeek technical report,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,67.62347080099819
LOSO,DeepSeek technical report,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,64.78976340907282
LOSO,DeepSeek technical report,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,4,0,59.447077390027005
LOSO,DeepSeek technical report,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,39.334684018136926
LOSO,DeepSeek technical report,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,6,0,37.21157663436371
LOSO,DeepSeek technical report,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,7,0,25.406671794112366
LOSO,DeepSeek technical report,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,15.014488459267657
LOSO,DeepSeek technical report,OK,glm_5_2_max,GLM-5.2 (max),9,9,0,13.996465265626714
LOSO,DeepSeek technical report,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10,10,0,9.821500244355232
LOSO,OpenRouter,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,80.27832336419368
LOSO,OpenRouter,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,75.15869278291186
LOSO,OpenRouter,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,50.46694260791863
LOSO,OpenRouter,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,4,0,46.14957507162825
LOSO,OpenRouter,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,45.743019928486035
LOSO,OpenRouter,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,6,-1,29.74147485535393
LOSO,OpenRouter,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,7,1,28.541127552227035
LOSO,OpenRouter,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,28.520832443631427
LOSO,OpenRouter,OK,glm_5_2_max,GLM-5.2 (max),9,9,0,16.21569561812768
LOSO,OpenRouter,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10,10,0,10.468247882736646
