model_id,model,C1_score,C2_score,C3_score,C4_score,C5_BT_score,C5_effective_score
kimi_k3_max,Kimi K3 (max reasoning),80.22246611688637,46.25746211394311,66.36155480567838,93.7799430615481,34.56856016386749,34.56856016386749
gpt_5_6_sol_max,GPT-5.6 Sol (max),80.61841813896953,59.35824195831793,54.027946711038894,73.95492598314146,100.0,100.0
gpt_5_5_xhigh,GPT-5.5 (xhigh),88.99815616050248,36.467209580040624,57.73101758009519,38.55644871890536,6.974308690462572,6.974308690462572
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",48.008362427373925,100.0,51.06282352003342,100.0,61.41143677202628,61.41143677202628
claude_opus_4_8_max,Claude Opus 4.8 (max),100.0,45.609972782355385,40.818908559372474,45.03215040211417,0.0,0.0
gemini_3_1_pro_high,Gemini-3.1-Pro (High),95.97204269870555,41.061524078229155,0.0,52.65716561941289,59.50518071798478,59.50518071798478
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,37.365299588477896,0.0,100.0,93.16282004904058,,0.0
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,0.0,16.61647141654705,49.61894570159547,0.0,,0.0
qwen3_8_max,Qwen3.8-Max,62.030463835309725,11.368579925920463,44.43634483658853,62.073248468298715,55.081950858103056,55.081950858103056
glm_5_2_max,GLM-5.2 (max),29.304570389924805,9.803510167641388,51.06282352003342,24.137811030338977,,0.0
